school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3
MS;F;20;R;LE3;T;3;2;other;teacher;course;father;3;2;1;yes;no;yes;no;yes;yes;no;no;4;5;1;3;3;2;71;7;8;5
MS;F;16;R;LE3;T;2;2;services;other;other;father;1;1;0;no;no;yes;no;no;no;no;yes;2;4;1;1;4;2;36;11;11;11
GP;M;17;U;LE3;A;3;4;health;at_home;course;father;4;1;0;yes;yes;yes;no;no;no;no;no;5;5;5;4;4;3;72;15;14;14
MS;M;19;U;LE3;A;2;3;health;other;reputation;other;3;2;3;yes;yes;yes;yes;yes;no;yes;no;3;3;2;2;5;1;40;11;3;7
MS;F;15;R;GT3;T;3;2;health;teacher;course;other;3;4;1;yes;no;no;yes;no;yes;yes;yes;3;1;4;5;2;4;45;11;9;7
GP;M;18;U;LE3;A;0;4;at_home;health;other;father;1;3;0;no;no;no;no;yes;no;no;no;3;4;5;1;2;4;53;9;13;6
MS;M;17;U;LE3;T;2;3;other;services;home;other;4;1;0;no;no;yes;no;yes;yes;yes;no;3;5;4;1;3;5;38;5;5;8
GP;M;19;R;LE3;A;3;1;at_home;health;home;mother;3;4;3;yes;no;no;no;no;no;yes;no;5;5;1;3;2;5;7;13;8;6
GP;M;20;R;GT3;T;2;2;other;teacher;reputation;other;2;1;0;yes;no;no;no;no;no;yes;no;2;1;2;5;3;3;62;6;5;4
GP;F;16;R;GT3;T;0;1;teacher;at_home;course;father;3;2;1;no;yes;no;yes;yes;yes;yes;yes;2;3;2;2;2;1;54;5;9;7
MS;F;18;U;LE3;T;3;0;services;teacher;home;father;1;1;1;yes;yes;yes;no;yes;yes;yes;no;5;3;3;2;5;5;30;8;8;3
GP;F;19;U;LE3;T;1;4;at_home;services;reputation;father;1;2;1;no;no;yes;yes;no;yes;no;yes;4;1;5;2;4;3;36;9;7;8
MS;M;19;R;LE3;A;2;3;health;teacher;other;other;3;2;0;no;yes;no;no;yes;yes;yes;no;4;5;1;2;1;3;25;9;9;8
MS;M;19;R;GT3;A;3;4;at_home;at_home;course;mother;4;1;0;no;no;yes;yes;yes;yes;yes;yes;4;1;2;4;5;3;19;10;9;5
MS;M;18;R;GT3;A;4;2;other;services;home;mother;4;1;0;no;no;no;no;yes;yes;yes;no;2;4;4;2;3;4;62;8;8;9
MS;M;17;U;GT3;A;3;4;at_home;other;course;father;3;1;0;yes;yes;no;no;yes;no;no;yes;4;3;3;4;3;1;31;12;7;7
GP;M;16;R;LE3;T;4;2;teacher;at_home;other;other;4;3;0;no;yes;no;no;no;no;yes;no;1;2;3;4;5;3;21;6;7;9
GP;F;19;R;LE3;A;4;3;health;other;home;other;1;3;0;no;no;yes;no;yes;no;no;no;5;3;2;4;4;3;65;5;6;5
GP;M;18;R;GT3;A;4;0;other;health;course;father;2;2;0;no;no;no;no;yes;yes;no;no;3;2;3;5;2;4;30;12;12;15
MS;M;21;R;LE3;T;1;2;health;teacher;course;father;2;1;2;no;yes;yes;yes;no;no;yes;no;3;1;4;2;2;1;73;5;3;3
MS;M;16;U;LE3;A;2;4;at_home;health;other;mother;2;1;0;no;no;no;no;yes;no;no;yes;3;5;4;4;2;3;18;8;7;6
GP;F;18;R;GT3;A;2;0;other;health;other;father;1;4;2;no;no;yes;yes;no;yes;yes;no;3;4;1;3;1;4;60;6;6;8
GP;F;19;U;GT3;A;4;4;services;at_home;home;mother;2;4;1;yes;yes;no;yes;no;no;yes;yes;2;2;5;2;5;4;40;5;4;4
MS;M;18;U;GT3;A;1;3;at_home;other;reputation;mother;1;2;2;no;yes;no;yes;yes;no;no;no;2;1;3;2;5;1;1;7;8;5
MS;F;18;U;LE3;A;2;3;at_home;health;other;mother;2;3;0;yes;no;yes;no;yes;yes;no;no;2;5;4;2;3;5;58;13;16;9
MS;F;21;R;GT3;T;0;4;teacher;teacher;course;mother;4;3;3;yes;yes;no;no;no;no;no;yes;5;1;5;2;3;2;64;7;3;1
MS;F;19;U;GT3;T;1;3;services;services;other;father;3;3;0;no;yes;no;no;yes;no;yes;yes;2;1;2;2;1;4;33;13;15;15
MS;F;22;R;GT3;A;3;0;health;teacher;course;mother;2;3;0;yes;no;yes;yes;yes;no;yes;yes;4;1;3;1;3;1;50;7;7;6
GP;F;22;R;GT3;A;4;0;services;teacher;other;father;2;2;1;no;no;yes;yes;no;yes;no;no;2;2;4;1;1;2;20;8;4;2
GP;F;19;R;GT3;A;4;1;services;teacher;course;other;2;4;0;no;no;no;no;yes;no;no;yes;4;4;1;1;5;3;59;6;8;4
GP;M;22;R;LE3;A;2;1;health;services;reputation;other;4;3;0;yes;yes;yes;no;no;yes;no;no;3;3;5;1;5;1;14;8;11;7
GP;F;21;R;GT3;A;3;4;services;services;reputation;mother;2;1;0;no;yes;no;yes;yes;no;yes;yes;2;4;4;4;5;4;38;1;2;6
MS;M;16;U;LE3;T;1;0;teacher;health;home;mother;4;2;0;no;yes;yes;no;no;yes;no;no;1;1;2;2;4;4;60;13;13;14
MS;F;20;U;LE3;A;3;3;other;other;course;mother;4;4;0;no;yes;yes;yes;no;no;yes;no;4;4;1;4;5;3;57;9;10;11
MS;M;18;U;GT3;A;1;2;at_home;at_home;course;father;2;2;0;yes;no;yes;yes;yes;yes;no;yes;4;4;3;2;2;5;6;12;13;16
GP;F;16;R;GT3;T;4;1;teacher;other;reputation;father;3;3;1;yes;no;yes;yes;yes;no;no;yes;1;5;5;1;5;1;64;14;15;8
GP;M;22;R;LE3;T;2;2;health;teacher;reputation;father;4;1;0;no;no;no;yes;yes;no;no;no;3;2;2;5;4;2;17;9;9;12
MS;F;22;U;LE3;T;0;2;services;at_home;reputation;father;1;4;1;yes;yes;no;no;no;no;no;no;1;3;5;5;2;4;57;3;4;3
MS;M;21;U;GT3;T;0;4;services;at_home;reputation;other;3;2;0;no;no;yes;yes;yes;no;yes;no;4;5;1;1;3;3;64;9;9;8
MS;F;22;R;LE3;T;2;2;services;other;reputation;other;4;2;0;yes;no;no;yes;yes;no;no;yes;1;1;4;2;4;2;57;15;13;15
MS;M;22;R;GT3;A;3;1;health;other;reputation;father;4;2;2;yes;yes;no;no;yes;yes;no;yes;5;4;1;1;3;5;37;11;6;12
MS;M;22;U;LE3;T;4;3;teacher;services;course;mother;2;4;0;no;yes;yes;no;no;no;no;no;4;4;5;2;2;5;58;8;12;13
GP;M;21;U;GT3;A;4;0;at_home;services;home;mother;1;3;0;yes;yes;yes;yes;yes;no;yes;yes;5;2;1;3;2;2;74;5;4;3
GP;M;15;R;GT3;T;3;0;other;services;other;father;1;1;3;yes;no;yes;yes;no;yes;yes;no;4;2;1;5;3;2;3;8;5;4
MS;M;21;U;LE3;T;1;4;other;health;other;other;4;1;0;no;no;no;yes;no;yes;no;yes;1;3;5;5;1;2;71;8;7;7
GP;F;20;U;LE3;A;4;3;teacher;teacher;other;other;3;2;0;no;no;no;no;no;yes;no;yes;2;5;5;1;3;1;50;5;7;0
MS;F;20;R;GT3;A;2;1;services;services;reputation;father;3;1;2;yes;yes;no;yes;yes;yes;no;no;4;5;1;1;5;1;56;7;7;0
MS;M;17;U;LE3;A;2;1;at_home;teacher;reputation;other;1;3;0;no;yes;yes;no;yes;yes;no;no;1;3;4;5;2;1;25;14;16;16
MS;F;18;U;LE3;T;0;1;services;other;reputation;other;3;2;1;yes;no;no;yes;no;yes;no;no;4;3;1;5;4;4;46;9;8;6
MS;M;20;U;GT3;T;2;0;other;teacher;reputation;other;4;1;2;yes;yes;no;no;yes;yes;yes;no;4;1;5;3;3;2;13;3;1;0
GP;F;22;U;GT3;T;0;0;teacher;at_home;course;other;1;2;0;no;yes;no;no;yes;yes;yes;yes;3;4;4;1;5;4;29;11;12;12
MS;M;16;R;LE3;A;4;2;other;health;home;mother;1;1;0;yes;yes;no;no;no;no;no;yes;2;2;1;1;2;3;74;4;3;0
GP;F;22;R;GT3;A;2;0;other;other;reputation;mother;2;1;0;yes;yes;yes;yes;no;yes;no;no;5;3;5;5;3;5;38;8;6;9
GP;M;18;U;LE3;T;3;4;health;health;other;other;3;4;0;yes;yes;no;yes;yes;no;yes;yes;2;3;4;2;5;3;5;11;12;15
MS;F;20;U;LE3;T;0;1;services;teacher;home;other;2;4;0;yes;no;yes;no;no;yes;no;no;2;5;5;4;1;1;18;10;13;15
MS;M;21;U;LE3;T;4;2;health;services;reputation;mother;3;2;1;no;yes;yes;no;yes;yes;no;no;4;5;4;2;3;3;67;6;6;6
MS;F;18;U;LE3;A;1;3;health;services;other;father;2;3;0;yes;yes;yes;no;no;no;yes;yes;4;5;5;3;4;4;59;7;7;7
GP;F;22;U;GT3;T;2;0;services;other;home;father;2;1;0;no;yes;yes;no;yes;no;no;no;3;2;5;2;5;3;1;9;7;16
MS;F;22;U;GT3;T;1;1;at_home;health;other;other;4;3;1;no;yes;no;no;yes;no;no;yes;3;2;5;2;3;1;63;9;10;12
MS;M;20;U;LE3;T;1;2;other;other;other;father;2;4;0;no;yes;no;yes;no;no;no;yes;2;1;5;2;1;5;62;12;14;11
GP;F;19;U;GT3;T;2;4;teacher;health;course;father;4;2;3;yes;no;no;yes;no;yes;yes;yes;3;4;4;2;5;5;39;6;2;0
GP;F;22;U;GT3;T;4;2;other;at_home;other;father;1;1;0;no;no;no;no;yes;no;yes;yes;5;4;4;4;2;5;12;6;4;8
MS;M;16;U;GT3;A;4;0;services;teacher;home;other;3;4;0;no;yes;yes;no;yes;yes;no;no;3;4;2;4;1;1;32;17;15;19
MS;M;16;U;LE3;A;1;3;services;health;reputation;mother;1;2;0;no;yes;yes;yes;no;yes;no;no;2;2;1;5;2;4;6;10;11;11
GP;M;19;R;LE3;T;0;3;health;health;course;mother;2;1;0;yes;yes;no;yes;yes;yes;yes;yes;2;1;4;5;1;3;41;7;8;10
MS;F;18;U;LE3;A;2;1;teacher;at_home;course;mother;4;2;0;yes;no;no;yes;yes;yes;no;no;5;4;1;5;5;2;32;13;16;13
GP;M;17;R;GT3;T;2;0;other;other;other;father;2;1;0;yes;no;yes;no;yes;yes;yes;yes;3;4;3;2;2;4;26;7;8;2
MS;M;17;R;GT3;T;4;3;services;teacher;reputation;other;3;3;0;yes;yes;yes;no;no;yes;no;yes;1;4;1;2;1;2;26;11;9;11
GP;F;16;R;GT3;A;1;1;health;at_home;reputation;other;2;3;0;no;yes;no;no;yes;no;no;no;2;4;4;4;5;5;55;7;11;10
MS;M;16;R;LE3;T;2;3;at_home;services;other;father;4;4;0;yes;no;yes;yes;yes;yes;yes;no;4;4;4;4;3;4;62;10;10;9
GP;M;17;U;GT3;A;2;4;at_home;services;home;other;4;4;0;yes;no;yes;no;yes;yes;no;no;2;3;2;5;5;2;1;11;11;11
GP;F;21;U;GT3;A;2;4;other;at_home;course;other;4;1;0;no;yes;no;yes;no;no;yes;yes;4;1;1;1;4;5;53;5;8;8
GP;F;22;U;LE3;A;4;1;health;health;home;other;2;2;0;no;no;yes;yes;yes;no;yes;no;1;3;1;3;1;5;30;5;6;6
GP;F;16;U;LE3;A;4;4;services;at_home;other;father;4;3;0;no;no;yes;no;no;no;yes;no;3;1;1;4;4;2;3;3;5;9
GP;M;22;R;GT3;T;0;2;teacher;services;home;other;3;4;0;no;no;yes;no;no;no;yes;no;3;5;2;2;5;5;64;13;17;16
MS;F;22;U;GT3;T;1;1;health;teacher;home;father;1;2;2;no;no;no;yes;no;no;yes;yes;5;4;1;3;2;5;8;7;5;1
MS;M;18;U;GT3;T;2;0;teacher;teacher;course;other;2;1;0;yes;no;no;yes;no;yes;yes;no;4;3;3;2;5;5;75;12;9;8
GP;M;18;R;GT3;T;4;2;health;teacher;course;father;1;3;3;no;yes;no;no;no;yes;no;yes;2;2;1;2;4;4;38;14;13;4
MS;M;21;R;GT3;A;3;0;other;services;course;other;2;4;0;no;yes;no;no;yes;yes;no;no;3;2;2;2;2;1;46;7;8;5
GP;M;21;U;LE3;T;2;3;health;teacher;home;other;3;4;2;no;yes;yes;yes;yes;no;no;no;5;2;4;1;4;4;35;6;6;5
GP;M;18;U;GT3;A;0;4;health;at_home;other;other;4;3;0;yes;no;yes;yes;no;yes;no;no;1;5;5;5;1;2;15;13;13;15
MS;F;15;U;LE3;T;0;4;services;teacher;home;mother;3;3;2;yes;no;yes;yes;no;yes;no;no;2;5;4;3;5;3;68;5;3;1
GP;F;17;R;LE3;T;4;4;health;other;course;father;2;4;0;no;no;no;yes;no;no;yes;no;4;2;5;2;1;3;24;7;9;8
GP;M;17;R;GT3;A;0;4;health;teacher;course;mother;1;4;0;yes;no;no;no;yes;yes;no;yes;1;4;2;4;1;1;22;3;2;3
GP;M;19;R;LE3;T;1;2;at_home;health;course;other;4;4;0;no;yes;yes;yes;yes;no;no;yes;3;2;5;4;4;2;56;15;15;16
MS;F;19;U;GT3;A;2;0;teacher;teacher;reputation;mother;2;1;0;no;no;yes;no;yes;no;no;yes;4;1;5;2;1;4;68;8;10;4
GP;M;17;U;LE3;T;2;1;other;services;home;father;4;4;0;yes;no;yes;yes;no;no;no;no;3;2;1;5;4;2;39;15;14;17
MS;M;15;R;LE3;A;2;2;services;teacher;home;father;2;4;0;yes;no;no;yes;yes;yes;no;yes;4;1;2;3;2;4;50;9;10;7
MS;F;22;R;LE3;T;2;3;teacher;services;reputation;mother;2;3;0;no;no;no;yes;yes;yes;no;no;1;4;4;5;4;2;41;7;8;12
MS;F;16;U;LE3;T;1;2;other;teacher;reputation;mother;3;4;3;yes;no;no;no;no;no;yes;no;2;5;2;5;2;2;35;7;8;5
MS;F;22;U;LE3;T;4;1;health;teacher;reputation;father;1;3;3;yes;no;yes;yes;yes;yes;no;no;5;3;2;2;3;4;61;13;10;7
MS;M;20;R;LE3;A;0;1;teacher;teacher;home;other;3;2;0;no;yes;no;yes;no;no;no;no;3;1;1;1;5;2;42;8;7;3
MS;F;19;U;GT3;T;0;1;other;teacher;home;other;2;2;0;yes;yes;no;no;no;yes;yes;yes;2;2;4;5;3;5;44;11;12;8
GP;M;21;U;LE3;A;1;2;teacher;other;home;other;2;4;0;yes;yes;no;no;no;no;no;yes;2;1;2;5;2;5;1;12;12;16
MS;M;18;R;GT3;T;1;1;teacher;other;reputation;father;1;2;2;no;yes;no;yes;yes;yes;yes;yes;3;5;3;3;1;5;33;7;6;4
GP;F;20;U;GT3;T;2;0;other;other;home;other;4;3;1;yes;no;yes;no;no;yes;no;yes;4;2;4;3;2;4;11;6;6;4
MS;F;19;U;GT3;T;1;3;other;health;home;mother;1;4;0;no;yes;yes;yes;yes;no;no;yes;1;1;1;2;2;1;34;14;17;14
GP;M;16;U;LE3;A;4;3;health;services;course;father;2;2;0;no;yes;yes;yes;yes;no;yes;no;2;1;2;1;2;4;49;14;13;16
MS;F;22;U;LE3;T;0;2;services;teacher;course;mother;3;1;1;yes;yes;no;no;yes;no;yes;no;5;3;3;1;3;4;47;13;13;11
GP;F;17;R;LE3;A;3;3;teacher;teacher;other;other;3;2;0;yes;yes;no;no;no;no;no;no;4;5;3;2;2;4;53;5;5;6
GP;M;16;R;LE3;T;1;2;teacher;health;home;father;4;2;2;yes;no;no;yes;no;no;yes;no;2;2;2;1;2;1;18;9;8;5
GP;F;22;U;LE3;T;2;1;teacher;health;home;mother;4;2;1;no;yes;no;no;no;no;no;yes;3;1;2;1;1;5;22;9;9;5
MS;M;19;U;GT3;T;2;0;other;at_home;reputation;other;2;4;0;yes;no;yes;yes;no;no;no;no;4;2;1;3;4;2;34;11;9;9
GP;F;19;U;LE3;T;1;4;teacher;services;reputation;other;2;1;0;yes;yes;no;yes;yes;no;yes;no;1;3;3;4;5;2;40;7;12;9
GP;M;21;U;LE3;T;4;3;at_home;other;home;father;2;2;0;yes;yes;yes;yes;yes;yes;no;no;2;3;3;3;5;4;5;12;13;15
GP;F;22;U;LE3;T;2;4;teacher;at_home;home;father;3;2;2;yes;yes;no;no;no;yes;yes;yes;4;3;4;3;4;2;15;13;10;11
MS;F;22;R;GT3;A;0;3;other;at_home;course;other;1;1;0;yes;yes;yes;yes;no;no;yes;no;1;2;4;4;1;3;59;6;6;4
GP;F;21;R;LE3;A;2;0;services;services;other;mother;4;1;0;yes;yes;no;yes;yes;no;yes;no;1;3;4;4;2;1;27;12;14;13
GP;F;17;U;GT3;A;0;2;at_home;at_home;reputation;other;3;2;1;yes;no;no;no;yes;yes;no;no;4;4;5;2;4;3;73;9;9;4
GP;F;20;R;LE3;T;3;1;at_home;services;home;other;4;3;0;yes;no;yes;no;yes;yes;yes;yes;4;5;2;5;4;2;44;11;9;6
MS;M;15;R;GT3;T;3;3;at_home;at_home;course;father;4;3;0;yes;no;no;no;yes;yes;no;no;3;4;3;5;1;1;13;10;12;11
GP;M;15;R;GT3;T;1;3;other;at_home;home;mother;4;1;0;no;no;no;yes;no;yes;no;no;3;3;4;2;1;4;4;11;10;14
MS;M;17;R;LE3;A;1;4;at_home;teacher;other;mother;4;2;0;no;yes;no;yes;yes;yes;yes;no;3;5;2;3;2;1;11;10;11;10
GP;M;15;U;GT3;A;1;1;health;services;reputation;other;2;4;1;yes;no;yes;yes;yes;yes;yes;no;5;1;1;2;3;3;23;13;10;15
MS;F;22;U;GT3;T;3;0;health;at_home;other;father;4;2;0;yes;yes;yes;yes;no;no;no;yes;2;5;3;1;2;5;3;6;7;6
MS;F;18;U;GT3;T;1;0;health;services;course;father;2;1;0;no;no;no;no;no;yes;no;yes;2;3;4;1;5;5;39;11;11;8
MS;M;19;R;LE3;A;3;1;other;services;course;other;1;4;0;yes;no;no;no;no;no;yes;yes;2;3;4;2;3;2;9;12;12;13
GP;M;15;R;LE3;A;4;2;health;other;home;father;3;2;0;yes;no;yes;no;no;no;no;yes;2;1;4;4;1;3;53;13;11;10
GP;F;19;U;LE3;A;2;1;at_home;teacher;home;father;1;1;0;no;no;no;no;no;no;yes;no;4;5;1;4;3;4;63;11;15;15
GP;F;18;U;LE3;T;0;2;at_home;health;reputation;mother;2;3;1;yes;yes;no;yes;yes;yes;no;yes;3;3;5;4;3;2;17;8;7;8
MS;M;16;U;GT3;A;2;2;at_home;health;home;father;3;1;0;yes;yes;yes;yes;no;yes;yes;yes;2;4;4;2;4;1;43;12;8;9
MS;M;17;U;LE3;T;2;3;at_home;other;reputation;father;2;1;0;yes;no;yes;yes;no;yes;yes;yes;1;4;2;3;1;4;67;8;8;6
MS;F;17;R;GT3;A;0;3;services;services;home;mother;4;4;0;yes;no;yes;no;no;no;yes;yes;2;1;2;1;1;1;73;10;11;11
MS;M;21;U;LE3;A;3;1;health;health;course;other;3;3;0;yes;yes;no;no;yes;yes;no;yes;2;2;3;4;2;1;60;9;13;9
GP;F;20;R;LE3;A;1;3;teacher;teacher;home;other;3;2;0;yes;yes;yes;yes;no;no;no;no;3;5;3;4;3;3;58;12;12;8
MS;F;19;U;LE3;A;1;1;services;at_home;home;mother;4;3;0;yes;yes;no;yes;no;no;yes;no;3;3;4;5;4;3;39;13;11;8
GP;M;22;R;GT3;T;0;3;health;at_home;reputation;other;3;2;0;no;yes;no;yes;no;yes;yes;no;5;1;1;4;3;1;55;8;7;6
MS;F;16;R;LE3;T;3;4;teacher;services;reputation;mother;4;3;0;no;no;no;yes;no;no;no;yes;5;4;3;5;2;2;32;13;13;14
MS;F;21;R;LE3;T;4;3;services;other;course;father;3;4;0;no;no;yes;yes;no;yes;yes;no;2;5;5;3;2;5;69;13;18;16
GP;M;15;R;GT3;T;0;0;services;teacher;course;other;1;3;0;no;yes;yes;yes;yes;yes;no;yes;2;2;3;3;1;4;25;10;10;10
GP;F;18;U;GT3;T;4;3;at_home;teacher;home;father;4;4;3;yes;no;no;yes;no;yes;yes;yes;2;2;2;5;5;2;60;7;5;3
MS;M;21;R;LE3;A;3;3;health;teacher;course;father;1;4;0;no;yes;no;yes;no;yes;no;no;3;1;2;3;5;5;26;9;8;9
GP;M;20;R;LE3;A;2;3;teacher;at_home;other;father;2;3;0;no;no;no;yes;yes;yes;yes;yes;1;1;4;4;3;2;30;16;15;13
MS;F;15;R;LE3;T;0;3;services;other;home;mother;3;1;0;no;yes;yes;yes;no;no;no;no;2;2;2;4;5;2;11;5;6;5
GP;F;20;R;LE3;A;1;4;at_home;health;reputation;other;4;3;0;yes;yes;no;no;no;yes;yes;yes;5;3;1;1;4;2;6;7;9;13
MS;M;20;U;LE3;A;0;4;other;health;course;father;1;1;0;no;yes;yes;no;no;no;yes;no;1;2;2;5;3;1;30;4;2;3
GP;M;16;R;LE3;A;1;2;teacher;teacher;home;father;2;3;0;no;yes;yes;yes;yes;yes;no;yes;5;4;1;4;4;2;55;7;10;9
MS;M;18;R;GT3;T;1;1;teacher;other;home;mother;4;1;3;yes;yes;yes;yes;yes;yes;no;yes;3;1;3;3;5;2;37;13;6;3
GP;M;18;R;GT3;T;3;2;services;other;course;other;2;3;0;yes;yes;no;no;no;no;yes;yes;2;5;2;3;5;2;15;8;9;11
MS;M;16;U;GT3;T;2;2;other;at_home;course;mother;1;3;1;no;no;yes;no;no;no;yes;yes;2;4;2;4;5;1;39;15;17;12
MS;M;18;U;GT3;A;3;0;teacher;other;other;other;3;4;0;no;yes;no;no;yes;yes;yes;no;3;1;2;5;3;3;73;8;6;9
GP;F;19;R;GT3;T;3;3;teacher;at_home;home;father;1;3;0;yes;no;yes;yes;no;no;yes;no;2;3;3;3;4;2;29;8;9;9
GP;F;17;R;GT3;T;4;1;teacher;services;course;mother;3;1;0;no;yes;yes;no;yes;yes;yes;yes;3;5;3;4;1;4;36;12;12;9
MS;M;22;R;LE3;T;2;0;services;health;home;mother;2;3;0;no;yes;no;yes;yes;no;yes;yes;2;5;5;5;5;4;68;6;9;9
MS;M;20;R;LE3;A;1;2;health;services;reputation;father;3;1;0;no;no;no;yes;no;yes;no;no;5;2;4;4;2;5;16;11;14;10
GP;M;19;R;GT3;T;0;3;at_home;other;reputation;other;4;2;1;no;yes;yes;yes;no;no;no;yes;2;1;4;1;2;1;16;6;4;6
GP;M;18;R;LE3;A;2;4;other;other;home;other;1;1;0;no;no;no;no;no;no;no;yes;2;5;5;1;2;1;75;5;5;5
GP;M;16;U;GT3;A;2;0;other;other;other;father;3;4;0;yes;yes;yes;yes;no;no;no;yes;3;3;2;1;3;3;62;5;4;9
GP;F;19;U;LE3;T;4;4;health;teacher;home;other;2;1;0;yes;no;yes;no;no;no;yes;no;3;1;1;4;4;4;33;11;11;14
MS;F;18;U;GT3;T;4;2;services;at_home;home;other;3;1;0;no;yes;yes;yes;yes;yes;no;yes;2;3;4;2;4;2;63;10;12;5
GP;F;21;U;GT3;T;1;0;at_home;services;other;other;2;3;0;yes;no;yes;no;no;no;no;no;5;4;3;1;2;1;36;7;8;10
GP;M;20;U;GT3;A;1;3;at_home;other;other;other;2;1;0;yes;no;yes;no;no;no;no;no;4;4;4;3;1;3;62;8;10;7
MS;F;17;U;LE3;A;1;4;other;teacher;home;father;1;3;2;yes;yes;yes;no;yes;yes;no;yes;3;2;3;3;4;2;70;5;7;5
GP;M;22;U;LE3;A;2;0;health;health;home;father;1;4;0;yes;no;yes;yes;yes;no;yes;yes;5;5;2;1;5;4;24;10;14;12
GP;M;19;R;LE3;T;2;4;at_home;at_home;course;father;1;2;2;no;no;no;yes;no;yes;no;no;3;5;1;4;2;5;3;8;4;7
MS;M;17;U;LE3;T;1;3;other;health;home;mother;4;4;0;yes;yes;no;no;no;no;no;yes;1;3;5;5;4;1;34;5;9;7
MS;F;20;R;GT3;T;0;3;teacher;at_home;reputation;mother;2;1;0;no;yes;yes;no;no;yes;no;yes;5;4;4;1;3;1;55;14;15;13
MS;M;17;U;GT3;T;4;2;other;other;course;father;4;2;2;yes;yes;no;yes;no;no;yes;yes;4;1;1;3;2;2;12;7;6;4
GP;F;20;U;GT3;T;1;2;services;at_home;course;father;4;3;0;yes;yes;yes;yes;yes;no;yes;no;5;1;2;5;5;4;42;3;2;2
MS;F;17;U;LE3;T;0;4;health;health;reputation;father;1;3;0;yes;yes;no;no;no;no;no;yes;2;5;4;4;4;4;45;10;6;8
GP;F;19;U;GT3;A;3;2;teacher;other;other;other;3;2;0;no;no;no;no;yes;yes;no;no;2;1;2;4;3;5;24;12;14;14
MS;F;19;U;GT3;A;3;0;services;services;home;other;1;4;3;no;no;yes;no;yes;yes;no;yes;5;2;2;2;1;4;15;14;11;10
MS;F;15;R;GT3;T;4;2;other;teacher;other;father;1;1;0;yes;no;yes;yes;no;yes;no;yes;5;4;2;1;3;3;71;9;6;6
MS;F;16;U;LE3;T;1;2;other;teacher;reputation;mother;2;3;0;yes;no;yes;yes;no;yes;no;no;2;3;2;5;3;4;28;10;13;17
MS;M;19;U;GT3;A;4;2;services;other;other;other;2;1;2;no;yes;yes;no;no;no;yes;no;5;5;3;1;5;2;33;11;9;5
GP;M;17;R;GT3;A;4;3;other;teacher;course;other;1;3;1;yes;yes;no;no;no;no;yes;yes;3;3;2;4;5;2;2;6;3;3
MS;M;18;R;GT3;A;3;3;services;teacher;reputation;other;1;4;0;no;no;yes;yes;yes;no;yes;yes;2;3;1;1;3;2;44;8;10;9
GP;M;19;U;LE3;T;1;3;teacher;health;reputation;other;3;1;0;no;yes;no;no;yes;no;no;no;2;1;4;2;3;2;51;7;12;7
MS;M;16;R;GT3;T;1;4;health;health;course;father;3;1;0;no;yes;yes;yes;no;yes;yes;yes;3;4;1;3;4;2;54;12;11;8
MS;M;17;U;GT3;T;3;0;services;teacher;other;mother;2;3;0;no;no;yes;no;no;no;yes;no;4;3;1;5;4;5;47;8;14;7
GP;F;21;R;LE3;T;0;2;other;services;reputation;other;4;4;0;no;yes;yes;no;no;no;yes;no;3;4;3;3;1;5;34;12;13;12
GP;F;20;U;GT3;T;1;0;other;teacher;reputation;other;2;4;0;no;no;no;yes;no;yes;yes;no;3;1;2;5;1;4;65;11;14;10
MS;M;15;U;GT3;T;3;0;health;other;course;father;2;1;0;no;yes;no;no;yes;no;yes;no;2;3;3;1;4;2;2;8;10;13
MS;F;18;U;LE3;A;1;0;other;services;other;other;4;3;0;no;yes;no;no;no;no;no;yes;4;4;2;5;2;4;32;7;6;6
MS;M;16;U;GT3;A;2;2;at_home;at_home;home;mother;2;3;0;no;yes;no;no;yes;no;yes;no;5;1;1;4;2;2;14;7;10;12
MS;M;20;U;GT3;A;2;2;teacher;services;other;mother;4;4;1;no;no;yes;yes;no;no;yes;no;4;2;1;4;5;4;53;7;5;4
GP;M;15;R;LE3;T;4;3;teacher;services;home;other;4;2;1;yes;no;no;yes;yes;no;yes;no;2;3;1;1;2;5;59;6;3;3
GP;M;16;R;LE3;T;3;0;teacher;teacher;other;other;4;4;0;no;no;yes;yes;no;no;yes;no;4;1;3;4;5;4;54;9;12;8
GP;F;20;R;GT3;T;1;3;health;services;home;father;1;4;1;no;yes;no;no;no;no;no;no;3;5;3;5;1;2;18;9;10;7
MS;M;17;R;GT3;A;2;1;health;health;course;father;3;2;0;yes;no;yes;yes;no;no;no;no;5;2;3;2;5;5;40;6;9;6
MS;F;22;R;LE3;T;2;1;services;health;reputation;mother;3;1;0;no;no;no;yes;yes;yes;no;yes;4;1;3;5;1;3;70;14;15;14
GP;M;18;U;GT3;T;1;1;at_home;health;home;other;3;3;0;yes;yes;yes;no;yes;yes;yes;yes;5;5;4;4;1;5;6;10;9;10
GP;M;18;U;LE3;A;2;4;teacher;other;other;mother;4;2;0;no;yes;no;no;no;no;yes;no;5;4;5;3;3;3;68;11;9;9
MS;F;17;R;LE3;A;4;3;at_home;health;reputation;mother;4;3;0;no;no;yes;yes;yes;yes;yes;no;5;3;3;5;4;1;38;11;12;11
